tíðnisæti MÍNO	lemma	orðflokkur	fjöldi
4865	frelsa	s	289
4866	gífurlega	a	289
4868	heiðarlegur	l	289
4869	húsbóndi	n	289
4870	ígrunda	s	289
4873	rótgróinn	l	289
4875	agi	n	288
4880	gæða	s	288
4882	ónæmur	l	288
4885	yfirbragð	n	288
4886	yfirgripsmikill	l	288
4887	barnshafandi	l	287
4888	harka	n	287
4889	hóflegur	l	287
4890	hreinsun	n	287
4892	íhaldssamur	l	287
4894	lægð	n	287
4896	óendanlega	a	287
4898	undirgangast	s	287
4899	uppsafnaður	l	287
4903	ljúga	s	286
4905	sprenging	n	286
4910	fullorðinsár	n	285
4911	kennsl	n	285
4913	kveikja	n	285
4914	miðbær	n	285
4916	óhapp	n	285
4918	umskipti	n	285
4919	uppræta	s	285
4920	vegfarandi	n	285
4921	etja	s	284
4922	göfugur	l	284
4927	skammstöfun	n	284
4929	smæð	n	284
4932	undrun	n	284
4933	afleiddur	l	283
4935	eindreginn	l	283
4937	frumlegur	l	283
4945	tengslanet	n	283
4946	ásýnd	n	282
4948	innbyrðis	l	282
4950	meðtalinn	l	282
4951	ótímabær	l	282
4952	starfsreynsla	n	282
4954	örvandi	l	282
4958	dulinn	l	281
4965	stara	s	281
4967	byggður	l	280
4973	óráð	n	280
4977	tóm	n	280
4981	menntamaður	n	279
4982	ójöfnuður	n	279
4984	tryggður	l	279
4985	uppdráttur	n	279
4986	þversögn	n	279
4988	heppnaður	l	278
4992	ókostur	n	278
4995	sending	n	278
4996	vitsmunalegur	l	278
5000	rýmka	s	277
