English,Icelandic
give way,víkja
glade,rjóður
glass eye,gerviauga
glazing agents,húðunarefni
gleam,blik
gleam,glampa
glide,svífa
gliding,svífandi
glinted,glitti
gloom,þyngsli
glory,dýrð
glory,frægð
glory,orðstír
glottis,raddglufuna
glucose,glúcósi
glucose,þrúgusykur
glued,líming
goal-directed,ofansækinn
goalie protective equipment,markmannshlífar
goals,stefnu
goblin,svartálfur
gob,túli
goddess,gyðja
go haywire,farið úr skorðum
go haywire,úr skorðum
go hungry,svelta
gold bars,gullstengur
golden cross association,sameiningargullkrossinn
Golden Retriever,Gullinsækir
gold standard,gullstaðal
golgi cell,golgi frumur
good fortune,gæfa
good judge,skynbragð
good luck,gæfa
good use,nýtast
go on,áfram með smjörið
gooseberry,blæjuber
gooseberry,stikilber
goosebumps,gæsahúð
governor,landstjóri
governor,nýlendustjóri
governor,ríkisstjóri
governor,stjórnarnefndarmaður
gown,hempa
gown,skikkja
gown,sloppur
grace,þokki
grain of truth,sannleikskorn
grammar checker,málrýnir/málfræðirýnir
grammar correction,málfræðileiðrétting
grammar models and formalisms,málfræðilíkön og formalismar
grammars,mállýsingar
grammatical tagger,málfræðilegur markari
grandeur,reisn
grand,tignarlegur
grant,eigi að láta í té
grant,fjárveiting
grant,veita
grant,veitir
granulated sugar,strásykur
granuloma,bólguhnúður
granuloma,kúla
grapefruit,greip
grapheme combinations,stafasambönd
graphical user interface,myndrænt viðmót
grasp,tileinka
grave,þungbúinn
gravid,þunguð
gravlax,graflax
great idea,um að gera
Great Wall of China,Kínamúrinn
great white shark,hvítháfur
great white shark,hvíthákarl
greedy,ágjarn
greedy,frekur
greenhorn,grænjaxl
green,óreyndum
greiðsla,fjármuna
grill,glóðarsteikja
grind,gnísti
grind,mala
grin,glotta
gristle,brjósk
gross income,brúttótekjur
gross profit,brúttó ágóði
gross profit margin,brúttóágóðahlutfall
ground,jarðvegur
grounds,forsendur
group conversation,hópsamtal
group,flokkur
grovel,grúfa
grove,lundur
grow,gróið
growled,urraði
growth,vöxt
grow,þrifust
g-spot,G-blettur
guarana,guarana
guarantee,ábyrgjast
guarantee,tryggja
guard,gætt
guardian,forsjáraðili
guardian in charge,yfirlögráðanda
guard,varðmaður eða vörður
guided,leiðbeindir
guide,fylgdarmaður
guide,leiðbeindir
guilty,brotlega
guilty,brotlegt
GUI,myndrænt viðmót
guinea pig,naggrís
guitar pick,gítarnögl
gullet,kok
gun,hólkur
gust,vindhviða
gut,slægja
gut,þörmum
gymnastics,leikfimi
gynosexuality,kvenkynhneigð
gypsy,síguani
gyrfalcon,fálki
gyrfalcon,valur
habits,líferni
habit,tamt
had been completed,höfðu verið unnar
had not anticipated,kom á óvart
haircut,klipping
hairpin,hárnál
half-dome,kúpull
halibut,lúða
hallucination,ofsjónir
handle,handfang
handle,ræður við
handler,handleðara
handmade,handunnar
hand over,eigi að láta í té
hand over,framseldur
haphazardous,ófínn
happen,ske
happily,sem betur fer
happiness,sæla
hardcover,harðspjalda
hard drive,harða diska
hard frost,gaddur
hardly,naumlega
hardness,forherðing
hardtack,hrökkbrauð
hare,héri
harmonicity,samhljóm
harmonics,hljómfræðina
harsh,harkalegt
harshness,hörkunni
hartshorn,hjartarsalt
hash,bixímatur
Háskólatorg,Háskólatorg
haste,óðagoti
haughtiness,reigingur
haughty,þóttafullur
haunt,ásækja
haunting,slæðingur
have to,hlotið
hawthorn,snæþyrnir
hayfield,tún
haystack,stabbi
headboard,höfðagafli
head cheese,sviðasulta
head-driven phrase structure grammar,höfuðstýrð liðgerðarmálfræði
headline,fyrirsögn
headline,yfirskrift
head start,forskot
head,stefna
heal,græða
health,heilsufar
health problems,heilsubrests
hear,hlýða
heartburn,brjóstsviði
heath,heiði
heat-resistant dish,eldföstu móti
heat-resistant mould,eldföstu móti
Heavy Vehicle Tax,Þungaskattur
hedge accounting,áhættuvarnarreikningsskila
hedge accounting,áhættuvarnir
heedless,andvaralaus
heighliner,alferju
help,dugir
help,gagna
helpless,ráðþrota
help,skila
henchman,handbendi
henchman,skósveinn
herbal extract,jurtaþykkni
hereditary,ættgengt
herpes,frunsu
heuristics,brjóstvitsreglur
heuristics,þumalputtareglur
HFO,svartolíu
hide,fela
hide,felum
high interest rate polciy,stýrivaxtahkkanir
high-level language,æðra forritunarmál
highlighter,áherslupenni
highlight,litun texta
highlight,yfirstrikunarlitur
high-low method,hámarks-lágmarks aðferð
high-net-worth individual,auðfýkingur
high-rise,háhýsi
highway,þjóðvegur
hindering,fyrir
hinge,hjara
hint of itself,angi
hipbone,mjaðmabein
hip,lend
hip,mjöðm
histology,vefjafræði
historic,sögufrægur
histronic personality disorder,geðhrifapersónuleikaröskun
hit,hæfa
hit,lemja
hitman,leigumorðingi
hit,rekast
HLA serotype,vefjaflokkun
HLA,vefjaflokkun
hlutverkaleikur,role-play
HMM methods,aðferðir hulinna markovslíkana
hnökrar,without falter
HNWI,auðfýkingur
hoarfrost,héla
hobby shops,Tómstundaverslanir
hokum,bull
hokum,þræla
hold,halda á
hole,hola
hole,holunni
hole in the wall,búlla
hole in the wall,hraðbanki
holiness,helgidóminn
hollow,lægð
home goods,búslóð
homeless shelter,gistiskýli fyrir heimilislausa
home screen,heimaskjár
homogeneous,samkynja
homo,samkynhneigð
Homo Sapiens,hinn vitiborni maður
homosexuality,samkynhneigð
honest,vammleysi
honeyeater,hunangsfugl
honor,upphefð
honor,vegtylla
hoof,hófur
hooligan,bulla
hopeful,vongóður
hope,vonin
hopper,hólkur
hopscotch,parís
hop,skoppa
hop,skreppa
horde,hjörð
horde,legíó
horde,mannþröng
horizon,sjóndeildarhringur
horizontal,láréttir
hormone,vaki
horoscope,stjörnuspá
horseback riding,útreið
horse,eykur
horsepower,hestafl
horseradish,pipparrót
hostile,óvinveitt
hotdog,hotdog
hot dog,pulsa
hot dog,pylsa
hotdog,slanga
hot,ör
hot tub,heitur pottur
household goods,búslóð
household,hjúskaparstöða
house party,samkvæmi
housing benefit,húsbætur
housing,hýsing
hover,svífa
how,hve
how,hvernig
how,hversu
howl,emja
HPMC,jurtabeðmi
Huldumal,nemendafelagið á HÍ fyrir nemendur í ISE námsbraut
human aided machine translation,mannstudd vélræn þýðing
human leukocyte antigen,vefjaflokkun
human,mennskur
human resource management,starfsmannahald
human resources,mannaforráða
human trafficking,mansal
humility,auðmýkt
humility,auðmýkt hugfarsins
humility,hógværð
humility,lítilfjörleiki
humility,lítillæti
hummingbird hawk-moth,kólibrísvarmi
humming,suð
humorous,skoplegur
humpback whale,hnúfubakur
hunger,sultur
hungry,ágjarn
hungry,fíkinn
hungry,sólginn
hunt,ofsækja
hurdle rate,ávöxtunarkrafa
hurry,herða
hurt,hrekktur
hurt,hvekktur
husband,eiginmaður
hush,sussar
hush,þagga
hyacinth,goðalilja
hyacinth,hýasinta
hyacinth,jasinta
hybrid vehicle,tvinnbíll
hydrogen,vetni
hydrometer,flotmælir
hypercorrection,ofvöndun
hyperparameter,ytri stiki
hyphenation programs,orðskiptiforrit
hypochondriac,ímyndunarveik
hypocrisy,hræsni
hypocrite,hræsnari
hysterectomy,legnám
hysterical,móðursjúkur
iceberg lettuce,íssalat
ice floe,snjófleki
ice hockey,íshokkí
icelandic dip,eðla
Icelandic wrestling,glíma
Iceland moss,fjallagrös
icy cold,svellkaldur
idea,hugtak
idea,hugtök
ideal,bjartsýnn
ideal efficiency,hámarksskilvirkni
idealism,hughyggja
ideal standards,fullkominn staðall
ideaology,hugmyndafræði
identical twin,eineggja tvíburi
identification number,kennitala
identified,greinist
identity verification,sannreyning upplýsinga
idiom,orðtak
idiot,bjálfi
idiot,bjáni
idiot,lúðó
idler,letihaugur
idling,lausagangur
id number,kennitala
I encourage you to do it,um að gera
if you don't mind,ef þér er sama
igneous rock,storkuberg
ignorance,fáfræði
ignore,hunsa
I liked,mér leist
I'll get even with you,Ég mun finna þig í fjöru
I'll have to remember that,Þennan þarf að ég muna.
ill-repute,óorð
ills,illur
illusion,sýnd
image,ímynd
imagine,hugarlund
I'm in a hurry and have to go,Ég þarf að drífa mig.
I'm in pain,Ég finn svo til
imitate,líkja
immaculate,óaðfinnanleg
immediate,án tafar
immediately,í einum grænum
immediately,um leið
immediately,umsvifalaust
immediate surroundings,nærumhverfi
immediate,tafarlaus
immersed,niðursokkinn
imminent,í aðsigi
imminent,yfirvofandi
immoral,siðlaus
immoveable,óbifanlega
imp,ári
impart,miðla
impatient,ör
impending,í aðsigi
impending,yfirvofandi
impertinent,ósvífinn
impervious,samdauna
implement,innleiða
important,um að gera
importunate,nærgöngull
impossibility,ógerningur
impossible,ótækt
impotent,vanmáttugan
impress,heillaðu
impressive,aðsópsmikill
impressive,impónerandi
impressive,tilkomumikill
improve,bæta
improved,betrumbætt
improvement culture,umbótamenningu
improvement,úrbóta
improvisation,spuni
impudent,kræfur
impudent,ósvífinn
in a big way,stíll
in ancient times,í fyrndinni
in a row,í spottum
inauguration,vígsla
in bad faith,grandsamur
inbreeding,innrækt
incapable,ófær
incapacity,vanhæfni
incessant,stóðugt
incessant,stöðugur
incessant,þrotlaus
incest,sifjaspell
incinerator,tortímingarbúnaðinn
incisive,hnitmiðuðum
incisor,framtönnin
inclining,Skakkur
includes,fela í sér
includes,innifela
income statement,rekstrarreiknings
income statement,rekstrarreikningur
income tax,tekjuskattur
income,tekjur
income,tekjurnar
incompetent,vanhæfan
incomplete,ófullgerðar
in conjunction,í takt
inconvenience,óþægindi
increases,jukust
incredible,ótrúlegur
incremental analysis,jaðargreining
incurred,áfallinn
independent,óháður
independent variable,óháða breytan
indexing,lyklun
index,vísitala
Indian paradise flycatcher,indverski paradísargrípur
indirect cost,óbeinn kostnaður
indirect costs,óbeinn kostnaður
indirect costs,óbeins kostnaðar (óbk)
indiscipline,agaleysi
indisposition,forföll
indissolubly,órjúfanlega
individual word speech recogniser,stakorðagreinir
individual word speech recognizer,stakorðagreinir
in-domain,innan óðals
inducer,vaki
induce,teyma
inductive logic programming,aðleiðsluleg rökforritun
indulgence,eftirlæti
indulging,undanlátssemi
industrial nation,iðnríkjum
industriousness,starfsemi
industry,bransanum
industry,bransi
inexperienced,óreyndum
infamous,alræmt
infant,pelabarn
infer,álykta
inferiority complex,minnimáttarkennd
infertility,ófrjósemi
inflammation of the lymph,eitlabólgu
influential,áhrifamikill
information access,upplýsingaðgangur
information economics,upplýsingahagfræði
information extraction,útdráttur upplýsinga
information processing,upplýsingavinnsla
information retrieval,upplýsingaheimt
information technology,upplýsingatækni
infrared,innrauða
infrastructure,innviðir
infringe,brotið á
in full,fullu
infusion,gjöf
in good faith,grandlaus
ingrained,rótgróinn
ingredients,innihaldsefni
inhibit,bæla
in-house,hýsing
in-house,innanhúss
inimical,illviljaður
inimical,óvinveittur
inimical,skaðlegur
initial position,upphafsstöðu
initiative,athafnasemi
injured,slasast
injure,móðga
inlanders,innlendingur
innate traits,eðliseinkenni
in need,áttu bágt
innerside of the roof,rjáfur
innovation,nýsköpun
innovation speed,nýsköpunarhraði
innovative,framsækinn
innuendo,dylgjur
innumerable,ótal
innumerable,óteljandi
… in one go,... í einum spreng
in-person group,staðarhópur
in person,í eigin persónu
in private,einrúmi
input,ílag
input text,ílagstexti
input text,viðfangstexti
input,viðfang
in question,viðkomandi
insane,snargeggjaður
inscribed,áritað
inscrutable,óræður
inscrutable,órannsakanlegur
in secret,á laun
insecure,óöruggir
insider trading,innherjaviðskipti
insignificant,smávægilegir
insolent,ósvífinn
in solidum,solidarísk
insomnia,svefnleysi
installation,lögn
installment,hefti
installments agreement,raðgreiðslusamingur
installments,raðir
instant noodles,pakkanúðlur
instant,skjótur
instant soup,pakkasúpum
in step,í takt
instinctive,ósjálfrátt
instructed,leiðbeindir
instrument,verkfærin
insult,móðga
insurance,trygging
insurance,vátryggingar
intellectual,vitrænar
intellectual,vitsmunaleg
intelligent looking,gáfulegt
intend,hyggjast
intensity,styrkleika
intention,áform
interest coverage ratio,vaxtaþekja
interest expenses,vaxtagjöld
interest on arrears,dráttarvextir
interest rate,ávöxtunarkrafa
interest rate,vaxtastig
interest,renta
interest terms,vaxtakjör
interest,vextir
interest,vöxtur
interface,viðmót
interior,innviðir
intermittent,slitróttir
internal,innbyrðis
internal medicine,lyflækningar
internal process perspective,innra ferlasjónarhorn
interrogation,yfirherslur
intersex,intersex
intertwine,samtvinnaðra
intervention,afskipti
intestines,innyfli
intestine,þörmum
in the quarter in question,í viðkomandi ársfjórðungi
in the same instant,í sömu andrá
in the same quarter,í viðkomandi ársfjórðungi
in the top half,ofanverða
in the way,fyrir
in this quarter,í viðkomandi ársfjórðungi
intimacy,nánd
in time,í takt
intimidate,hræða
in total,solidarísk
intranet,innranet
introduce,innleiða
intuition,innsæi
intuitive language-based interfaces,hugsýn málbundin skil
inundate,flæða yfir
invalidate,ónýting
inventoriable costs,birðakostnaður
inventory,lausafjármunum
inventory turnover ratio,veltuhraði birgða
investment,fjárfesting
investment presentation,fjárfestakynningur
invincible,ósigrandi
invocation,ákall
involved,viðriðin
in working condition,starfhæfur
(IPOV - samningnum) International Convention for the Protection of New Varieties of Plants,alþjóðþegum samningi um vernd nýrra yrkja
ironic eyes,hæðnisaugum
ironic,hæðinn
irrefutably,óhrekjanlegt
irresistible,ómótstæðilegur
irreversible,óafturkræfur
(IRR) internal rate of return,innri vexti
irritability,ertanleiki
irritate,áreiti
irritated,ergileg
irritated,úrill
irritate,ergja
irritation,ergelsi
is done,standa klár
is finished,leysist
island,eyland
isolated word recognizer,stakorðagreinir
isolated word speech recognition,stakorðagreining
isolate,einangrum
is on hand,liggja fyrir
issue,afkvæmi
italics,skáletur
itemized,sundurliðun
item,liðum
item of clothing,flík
it,hann
it,hún
it means nothing,það þýðir ekki
it's pointless,það þýðir ekki
it,það
Ivory Coast,Fílabeinsströndin
ivory,fílabein
jabber,mala
jacuzzi,heitur pottur
jade ring,jaðihring
jagged,skörðóttri
jail,steinn
jaundice,gulu
jaw,kjálki
jaw,skoltur
jay,skrækskaði
jealous,afbrýðisamur
jealous,öfundsjúkur
jelly,hlaup
jerk,dónakall
jerk,dónakarl
jerk,lúði
jerk,lúðó
jerky,þurrkað kjöt
jest,gríni
jiggle,juða
jingoism,þjóðrembingur
JIT(just in time) manufacturing,tímastillt framleiðsla
jitterbug,tjútta
job order costing,verkbókhald
job,verk
jogging,skokk
jog,skokk
jog,skokka
join in the fun,slást í för með
join,slást
joint,búlla
joint cost,sameiginlegan framleiðslu kostnaðar
joint,hólkur
jointly-owned building,fjöleignarhús
jointly,sameiginlega
jointly,solidarísk
joint taxation,samsköttun
joke,gríni
joke lovers,brandaraunnendur
joke,spauga
joke tellers,grínistar
jolted,hrökk
jolt,högg
jostle,hrinda
jostling,mannþröng
journal entries,dagbókarfærslan
judicial trial,réttarhaldið
jumper,peysa
jump,flaðra
jumping,stökkvandi
jump rope,sippuband
jump,stökkva
jump,viðbrögðum
juniper,einir
junk,skrifli
justice,réttvísi
justice system,réttarkerfi
juvenile,ungæðis
keen,hvass
keep a promise,efna
keep cool,halda rónni
keep,gætt
keep going,áfram með smjörið
keeping cats,kattahold
keeping,varðveislu
keep out,aðgangur bannaður
keep your composure,haldið kulinu
kelp,þang
kennitala,kennitala
keratin,keratín
keybone,viðbein
key enabling technology,lykilstuðningstækni
keyhole,skráargat
key,nóta
keyword-based search,lykilorðaleit
kick the bucket,geispa golunni
kid,krakki
kids garage sale,tombóla
killer,bani
kill,farga
kind,greiðvikið
kingfisher,þyrill
kip,kippa
kip,sveifla
kiss-ass,sleikja
kith and kin,vinir og vandamenn
knee,hné
kneel down,krjúpa
knife strike,hnífshögg
knit,prjón
knitting needle,garnnál
knitting needle,prjónn
knob,hnúður
knock,banka
knock her out,slá hana út
knock out,rota
know,kunni
knowledge discovery,þekkingaröflun
knowledge-driven,þekkingarstýrð
knowledge exchange,þekkingarskipti
knowledge,lærdómur
knowledge management,þekkingarstjórnun
knowledge technology,þekkingartækni
knowledge,vitund
label,mark
label,merkja
labor efficiency variance,magnfrávik vinnu
labor efficiency variance,vinnunýtingarfrávik
labor price variance,launaverðsfrávik
labor price variance,taxtafrávik
labor price variance,verðfrávik launa
labor quantity variance,launafrávik
labor quantity variance,magnfrávik launa
labor quantity variance,magnfrávik vinnu
labor quantity variance,tímafrávik
labor quantity variance,vinnumagnsfrávik
labor,vinnuafls
lace,blúnduna
lackey,skósveinninn
lacking,áfátt
lacklusterly,dauflega
ladybug,maríuhæna
ladybug,sjödepla
lady of the house,húsráðandinn
lagging,eftirá
lambda reduction,aflömbdun
lambda reduction,lambdaeinföldun
lame,hallærislega
lament,harma
laminated,plöstun
lamp post,götuljós
landfill,urðun
land legislation,jarðalögum
landlord,vert
landmark,kennileiti
landslide,skriða
lane,akrein
langostine,humar
language analysis,málgreining
language checking,málrýni
language engineering,máltækni
language engineering,tungutækni
language generation,málgerving
language generation,málmyndun
language modelling,gerð tungumálalíkana
language model,mállíkan
language resources,málföng
language resources,málgögn
language technology application,máltæknibúnaður
language technology,máltækni
language technology,tungutækni
language tools,máltæki
language understanding,málskilningur
larynx,barkakýlisins
laser,leysir
lasting,varanlegur
latch,lokur
late,framorðið
latent semantic analysis,hulin merkingargreining
laters,heyrumst
late,síðbúnum
lats,bakbreiðavöðvi
laugh at you or with you,hlæja að þér eða með þér
laugh,skellum
law enforcement,löggæsla
law enforcement,löggæslu
law,lögmál
lawn,flötina
lawnmowing,grassláttur
lax standards,slakur staðall
layabout,letihaugur
layoff,hópuppsögn
lazybones,letihaugur
lazy,hægfara
lazy,iðjulaus
lazy,latur
Lazy-legs,letihaugurinn
lazy,letilegur
lazy,lygn
lead,blý
lead by the reins,teyma
leader,leiðari
leadership,forysta
leading,leiðandi
lead,leiða
leaned,hallaðist
lean,halla
leapfrog,höfrungahlaup
leap,skreppa
leap year,hlaupár
learning and growth perspective,lærdóms- og vaxtarsjónarhorn
learning,lærdómur
leasing,eignaleiga
lecithin,lesitín
lecture,röfla
ledge,sylla
ledge,syllu
left out,útundan
legal counsel,lögfræðiþjónustu
legal guardian,forsjáraðili
legal procedure,réttarfar
legal status,réttarstöðu
legislation,löggjöf
legitimate,skilgetinn
leisure activity,tómstundastarfi
lemma,flettimynd
lemma,kennitölur
lemma,nefnimynd
lend,ljá
length of the rope,reipisfjarlægð
lenition,veiklun
lens,augngler
lenten rose,fösturós
lenten rose,páskarós
Leo,Ljón
Leo,Ljónið
leptospirosis,leptóspírósis
leptospirosis,mjógyrmasýki
less,minna
lesson plan,kennslufyrirkomulag
let down,bregðist
lethargic,framlágur
let it go,láta <> sigla sinn sjó
let the cat out of the bag,leysa frá skjóðunni
lettuce,salat
leukemia,hvítblæði
level 1 analysis,1. stigs greining
level 2 analysis,2. stigs greining
level 3 analysis,3. stigs greining
levitate,svífa
levy,álagning
lexeme,les
lexical analysis,lesgreining
lexical semantics,orðfræðileg merkingarfræði
lexicon acquisition tool,orðtökutól
lexicon coding tool,orðasafnskótunarverkfæri
lexicons,orðasöfn
liabilities,skuldir
liability less,kvaðalausa
liability,skuld
liability,skuldbinding
libel,nið
library,forritasafn
library,forritseining
Libra,Vog
license,afnotaleyfi
licensed,löggiltur
lid,tappi
lien,haldsréttur
lien,veðbönd
lie,skrökva
life in the moment,lífðu í punktinum
lifeless,daufar
lifestyle inflation,lífsgæðakapphlaup
lifestyle,líferni
lift,hífa
lighter,laus
lighting,lýsing
light,lýsa
lightning,elding
lightning fast,eldsnöggur
light,tendra
light,tendraði
lightweight,léttur
lightweight,léttvægur
lightweight,léttvigt
lightweight,veigalítill
like a beaten dog,eins og barinn hundur
like a broken horse,eins og barðir hundar
like,fíla
lilac,sýrena
lilac,sýringa
lily of the valley,dalalilja
limited,einskorðast
limited,skertur
limpid,tær
liner,hólkur
linger,una
linguistically annotated corpora,málfræðilega markaðar málheildir
linguistic computing,máltölvun
linkage,tengsl
linked data,tengd gögn
lint,kusk
lip balm,varasalvi
lips,varir
liquescent,fljótandi
liquid,fljótandi
liquidity,greiðsluhæfi
listen from a distance,hlustið úr fjarlægð
listen,hlýða
litigator,sækjandi
little cakes,klatti
little creek,lækjarspræna
little girl,skotta
liver,lifur
livestock,búfé
living quarters,vistavera
load,farmur
loading bay door,hleðsludyr
loaf,hanga
loanshark,okurlánari
loan word,lánsorð
loan word,sletta
loan word,tökuorð
loaves of bread,brauðhleifa
localisation expert,staðfæringarsérfræðingur
lock of hair,lokka
lodging,híbýli
lodging,hýsing
loftiness,yfirlætislegt
logorrhea,munnræpa
loin,lend
longevity,langlífi
longing,löngun
long-run,lang-tíma
long-standing,rótgróinn
long-term debt ratio,langtímaskuldahlutfall
look after,halda á
look around,svipaðist
look,ásýnd
look away,lítið undan
look,blær
loo,klóið
loop,lykkja
loot,þýfi
Loricariidae,Sporðgranaætt
lose control,missa tökin
lose,glatar
loss,hallann
loss,missis
loss,tap
lotion,áburður
loud,hávær
loud raw rock music radio station,graðhestastöð
lout,ruddi
love addiction,ástarfíkn
love,kærleikur
lower,hnipra
low-fat milk,léttmjólk
low flat rock,klöpp
low,lægð
low pressure area,lægð
low tide,fjara
l-sit,lágvinkill
luck,heilum
luge,baksleði
lukewarm,volgur
luminous,sjálflýsandi
lump sum,ein greiðsla
lunacy,vitfirring
lure,lokka
lures,ögn
luster,slikja
lusty,öflugu
luxurious,dýrindis
lymphadenitis,eitlabólgu
lymphocyte,eitilfruma
lyncher,negrabani
lynx,gaupa
lysosome,leysibóla
machine-aided human translation,vélstudd þýðing
machine capacity,afkastageta véla
machine code,vélarmál
machine learning algorithms,vélnámsreiknirit
machine learning,vélanám
machine translation,vélræn þýðing
machine translation,vélþýðing
machismo,karlrembur
macroprudential,þjóðhagsvarúð
made a face,gretti sig
made-to-order,einstökum pöntunum
magnanimous,drenglyndur
Magnificent frigatebird,fagur freigáti
magnificient quality,mikilfengleiki
magnitude,stærð
magpie,skjór
mahi mahi,gullmakríll
mail order,lausasala
main categories,höfuðflokka
main,helstu
main inspection,aðalskoðun
mainly,aðallega
main part,megn
mainstay,haldreipi
maintain,fullyrða
maintenance payments,meðlagsgreiðslur
maintenance,viðhald
major change,stökkbreyting
make a bad impression,kemur illa fram við þig
make a face,grettir sig
make a good impression,kemur vel fram við þig
make a mountain out of a molehill,gera úlfalda úr mýflugu
make friends,vingast
make,gerð
make history,brjóta blað í sögunni
make,laga
make plans,leggja á ráðin
makes itself known,gera vart við sig
make sure,ganga úr skugga um
making,skópun
making,sköpun
male chauvinism,karlrembur
malfunction,bilun
malice,illkvittni
malicious,illkvittinn
malicious,illviljaður
malinger,skrópa
manage,annast
management,rekstri
management,stjórnun
management,utanumhald
management,yfirstjórnendur
managerial accounting,rekstrarbókhald
managerial accounting,rekstrarbókhaldi
manage,takast
manhole cover,hlemmur
maniac,brálæðingur
mania,oflætisástandinu
manifestation,birtingarmyndir
manifest,augljós
manifest,áþreifanlegur
manna,manna
manner,fas
manner of upbringing,uppeldisaðferðum
manners,mannasiðir
manner,viðmót
manor,setur
manpower,vinnuafls
man's man,kallakall
mantle,kufl
manual,beinskiptur
manufacturing,framleiðsluna
manufacturing overhead,framleiðsluálag
manufacturing overhead,óbeinn framleiðsluálag
manufacturing overhead,óbeinn framleiðslukostnaður
manure,áburður
manure,mykja
manure,saur
manure,tað
map,kortleggur
mapping functions,vörpunarföll
mappings,varpanir
map viewer,kortasjár
marathon,hámhorf
margin,álagning
marginal tax,jaðarskattur
margin,framlegð
margin of safety,öryggisbil
margin of safety,öryggismörk
marinate,marínera
marionette,strengjabrúða
mark a turning point,brjóta blað í
marked,merktir
marker,tússpenni
market price,markaðsverð
market rate,markaðsverð
market value,markaðsvirði
markup,álagning
marlin,spjótnefur
marriage,hjúskap
marshal,æðsti herstjóri
marshal,marskálkur
martial art,bardagalist
mass,mannþröng
mass,mergð
mass-produced,fjöldaframleiddur
master,tileinka
mast,súla
masturbate,fróa sér; runka sér;kippi í
match,stemma
material,efniskennt
material,efniviður
materialized,líkömnuðust
materials cost,efniskostnaður
materials price variance,verðfrávik
materials price variance,verðfrávik hráefnis
materials quantity variance,magnfrávik
materials quantity variance,magnfrávik efnis
materials quantity variance,magnfrávik hráefnis
materials quantity variance,nýtingarfrávik
material wellbeing,efnahagur
mathematical methods,stærðfræðilegar aðferðir
matrimony,hjúskap
matter of opinion,álitamál
maximum entropy methods,hámarksóreiðuaðferðir
mayfly,dægurfluga
mayfly,maífluga
may,mega
mayonnaise,majónes
meadow,bali
meadows,engjar
meadow,tún
meal,máltíð
meal,snæðingur
meal time,máltíð
meal time,snæðingur
meaning representation,merkingartáknun
mean,meðaltal
measles,mislingar
measurable,mælanleg
measurable,mælanlega
measure,mælikvarða
measure,mælingar og útreikninga
measure,ráðstöfnun
measure,ráðstöfun
mechanization,vélvæðingu
mechanize,vélvæða
media discussion topics,fjölmiðlaumfjöllun
median,miðgildi
media talking points,fjölmiðlaumföllun
medicine,meðalið
medley swimming,fjórsund
medley,syrpa
meetups,stefnumóta hópur
melancholy,depurð
melancholy,depurðar
melancholy,þyngsli
melted,bræddur
membrane,himna
membranes,himnur
memory based tagger,minnismarkari
menace,hótun
menace,ógnun
mend,gera við
meninges,heilahimnu
men's health doctor,þvagfæralæknisfræði
menstrual cup,tíðabikar
mental disorder,geðraskanna
mental disorder,geðröskun
mental disorder,geðröskunum
mentally disabled,þroskaheftur
mental sensitivity,geðnæmnin
mention,vikið að
merchandise,varning
merciless,óvæginn
merger,samruni
mesmerising,dáleiðandi
message,boð
message,orðsendingu
mess around,fikta
messing with,stríða
meta analysis,fjölgreining
metal industry,málmiðnaður
metamorphosis,hamskipti
meteor shower,loftsteinadrífa
meteor shower,loftsteinaregn
meters above mean sea level,metar hæð yfir sjávarmáli
meters above mean sea level,m.h.y.s.
method,framsetning
meticulous,vandvirkur
microbe,gerill
microprudential,eindarvarúð
Midwest,Miðvesturríkin
might,máttur
mighty,öflug
mild,vægur
milestone,áfangi
milestones,vörðurnar
military encampment,herbuðunum
military town,setuliðsbæ
milkshake,sjeik
mill,mala
mince,saxa
mindfulness,gjörhygli
mindfulness,núvitund
mindset of a wolf,úlfsham
mindset,þekjandi
minimal pair,lágmarkspar
minimum purchase,lágmarksviðskipti
minor point,smáatriði
minutiae,smáatriði
miracle,kraftaverk
mire,forað
mischief,fláttaskap
miserable,vansæll
misery,þjáning
missive,sendibréf
miss,ungfrú
mistake,feill
mistake,skekkja
mistake,skekkju
mistake,skyssa
mistreat,misþyrma
mistress,hjákona
misuse,misnotar
moan,gnauða
moat,díki
mobile classrooms,færanlegar kennslustofur
mobile classrooms,gámakennslustofur
mobility,flæði
mobility,hreyfigeta
mob,mannþröng
mock,móða
mock up,móta
model,fyrirsæta
model,móta
models,líkön
moderate,hóflegur
moderation,hóf
moderation,hófsemi
modest,hæverskur
modest,lítill
modest,prúður
modest,rauplaus
modest,siðprúður
modest,smár
modesty,hæverska
modesty,hógværð
modesty,látleysi
modesty,lítillæti
modesty,prúðmennska
modesty,siðprýði
mode,tíðasta gildi
modular classrooms,færanlegar kennslustofur
modular classrooms,gámakennslustofur
module,eining
module,mótull
mohair,angóraull
moist,blautur
moist,rakur
moist,votur
molar,jaxl
mollusc,doppa
molt,hamskipti
moment,hríð
moment,stundarkorn
mommy's boy,mömmustrákur
monarch,einvaldur
monitoring,vöktun
monkey,apaköttur
monopolistic position,einokunarstöðu
monster,óvættur
mood,hugur
mood,skap
moonlight,tunglsbirta
moonlight,tunglsljós
moon,múna
moral hazard,freistnivandi
morality,siðferði
morals,siðferði
more competent,kunnáttusamlegri
more dead than alive,aðframkominn
more exalted,æðri
more or less,hálfgerður
more worldly,veraldlegri
morning,árdegis
morning dew,morgundögg
moron,bjáni
morose,önuglyndur
morphine drip,morfíngjöf
